,is_action,is_indie,is_casual,is_strat,is_rpg,is_adv,is_f2p,is_sim,is_ra,is_sports,is_mmo,rnum,rval
32,0,1,0,1,0,0,0,0,0,0,0,0.8567263640149938,1
33,0,1,0,0,0,0,0,0,0,0,0,0.8306997742663657,1
34,0,0,0,1,0,0,0,0,0,0,0,0.7608695652173914,1
35,0,0,0,1,0,0,0,0,0,0,0,0.8115942028985508,1
36,0,0,0,1,0,0,0,0,0,0,0,0.8067978533094812,1
37,0,0,0,1,0,0,0,0,0,0,0,0.7632398753894081,1
38,0,0,0,1,0,0,0,0,0,0,0,0.5732217573221757,1
39,0,0,0,1,0,0,0,0,0,0,0,0.6920289855072463,1
40,0,0,0,0,1,0,0,0,0,0,0,0.8635778635778636,1
41,0,0,0,0,0,0,0,0,0,0,0,0.9313943435840435,1
42,0,0,0,1,0,0,0,0,0,0,0,0.6766304347826086,1
43,0,0,0,0,1,0,0,0,0,0,0,0.7157100511991377,1
44,1,0,0,0,1,0,0,0,0,0,0,0.9327945555082944,1
45,1,0,0,0,0,0,0,0,0,0,0,0.9537815126050421,1
46,1,0,0,0,0,0,0,0,0,0,0,0.8389830508474576,1
47,1,0,0,0,0,0,0,0,0,0,0,0.9532258064516129,1
48,1,0,0,0,0,0,0,0,0,0,0,0.9351337708228168,1
49,1,0,0,0,0,0,0,0,0,0,0,0.8748091603053435,1
50,1,0,0,0,0,0,0,0,0,0,0,0.9325676176361616,1
51,1,0,0,0,0,0,0,0,0,0,0,0.9506172839506173,1
52,1,0,0,0,0,0,0,0,0,0,0,0.9275067750677507,1
53,1,0,0,0,0,0,0,0,0,0,0,0.8441558441558441,1
54,1,0,0,0,0,0,0,0,0,0,0,0.6206896551724138,1
55,1,0,0,0,0,0,0,0,0,0,0,0.7769784172661871,1
56,1,0,0,0,0,0,0,0,0,0,0,0.9054545454545454,1
57,1,0,0,0,0,0,0,0,0,0,0,0.7402597402597403,1
58,1,0,0,0,0,0,0,0,0,0,0,0.9349775784753364,1
59,1,1,0,0,1,0,0,0,0,0,0,0.8588486900730707,1
